ms=70646 od=79.63 cd=79.63 mind=79.48 maxd=79.80 dh=79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61, sh=79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,
ms=71246 od=79.60 cd=79.60 mind=79.48 maxd=79.80 dh=79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68, sh=79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,
ms=71810 od=79.61 cd=79.61 mind=79.49 maxd=79.78 dh=79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60, sh=79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,
ms=72375 od=79.61 cd=79.61 mind=79.49 maxd=79.78 dh=79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68, sh=79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,
ms=72942 od=79.61 cd=79.61 mind=79.50 maxd=79.77 dh=79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05, sh=79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,
ms=73507 od=79.63 cd=79.63 mind=79.53 maxd=79.72 dh=79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60, sh=79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,
ms=74071 od=79.63 cd=79.63 mind=79.53 maxd=79.72 dh=79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60, sh=79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,
ms=74636 od=79.59 cd=79.59 mind=79.53 maxd=79.72 dh=79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67, sh=79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,
ms=75201 od=79.63 cd=79.63 mind=79.56 maxd=79.66 dh=79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67, sh=79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,79.67,
ms=75772 od=79.63 cd=79.63 mind=79.56 maxd=79.66 dh=79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71, sh=79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,79.71,
ms=76337 od=79.62 cd=79.62 mind=79.56 maxd=79.66 dh=79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69, sh=79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,79.69,
ms=76908 od=79.60 cd=79.60 mind=79.56 maxd=79.66 dh=79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60, sh=79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,79.60,
ms=77479 od=79.53 cd=79.55 mind=79.55 maxd=79.67 dh=79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59, sh=79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,79.59,
ms=78045 od=79.62 cd=79.62 mind=79.56 maxd=79.66 dh=79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61, sh=79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,79.61,
ms=78610 od=79.53 cd=79.55 mind=79.55 maxd=79.67 dh=79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58, sh=79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,79.58,
ms=79175 od=79.63 cd=79.63 mind=79.56 maxd=79.66 dh=79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63, sh=79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,79.63,
ms=79738 od=79.52 cd=79.55 mind=79.55 maxd=79.67 dh=79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60, sh=79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,79.60,
ms=80338 od=79.62 cd=79.62 mind=79.55 maxd=79.67 dh=79.62,79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61, sh=79.62,79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,79.61,
ms=80903 od=79.60 cd=79.60 mind=79.55 maxd=79.67 dh=79.60,79.62,79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61, sh=79.60,79.62,79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,79.61,
ms=81466 od=79.62 cd=79.62 mind=79.55 maxd=79.67 dh=79.62,79.60,79.62,79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61, sh=79.62,79.60,79.62,79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,79.61,
ms=82032 od=79.62 cd=79.62 mind=79.55 maxd=79.67 dh=79.62,79.62,79.60,79.62,79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63, sh=79.62,79.62,79.60,79.62,79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,79.63,
ms=82595 od=79.61 cd=79.61 mind=79.56 maxd=79.66 dh=79.61,79.62,79.62,79.60,79.62,79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63, sh=79.61,79.62,79.62,79.60,79.62,79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,79.63,
ms=83159 od=79.60 cd=79.60 mind=79.56 maxd=79.65 dh=79.60,79.61,79.62,79.62,79.60,79.62,79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59, sh=79.60,79.61,79.62,79.62,79.60,79.62,79.52,79.63,79.53,79.62,79.53,79.60,79.62,79.63,79.63,79.59,
